阿达西👍👍,2026-04-05 11:23:01
合作愉快 不错的卖家,2026-01-09 12:06:29
感谢买家小可爱信任！这次交易非常愉快～如果宝贝用着顺心，欢迎再次光顾呀～祝生活愉快！❤️,2025-12-27 12:26:07
东西虽小，但是精致，值得细细品味！,2025-12-17 22:00:34
卖家细致有耐心，拍视频讲解很多遍。人很实在，看和田玉很专业，真不愧好评率百分之百～👍👍👍,2025-11-23 12:00:04
好卖家,2025-11-07 15:09:13
不错,2025-11-03 12:02:32
实在，货真，价实在,2025-06-26 19:58:30
美货分享一下,2025-06-21 21:40:36
一分钱一分货,2025-06-18 17:41:42
东西很好,2025-06-03 09:27:57
很不错卖家，实在，有良心,2025-06-01 11:06:54
高性价比，卖家爽快，实物貌美。,2025-05-26 19:17:34
东西不错，阿达西人很好,2025-04-01 13:59:56
谢谢 喜欢,2025-03-27 11:17:44
真皮真籽，无伤无裂，玉质细腻油润,2025-03-26 11:49:19
👌🏻,2025-02-28 14:22:09
人好货好，美,2024-12-22 10:25:05
很一般，这颗，有点失望,2024-12-13 23:15:51
很好,2024-12-13 18:11:27
该用户没有填写有效评价信息,2024-12-02 22:42:42
真皮真籽，性价比高,2024-12-02 16:21:53
籽还不错，黄皮白肉，可惜黄皮有点干。,2024-11-30 23:06:36
原籽，白度很好！,2024-11-30 23:03:35
白,2024-11-12 19:14:57
僵有点厚,2024-11-12 19:14:41
除了贵没毛病,2024-11-12 19:13:59
好,2024-11-09 17:55:13
东西不错，物超所值，卖家很好,2024-11-05 07:48:01
东西与视频图片一样，非常好的卖家,2024-11-05 07:47:40
很好,2024-11-02 22:26:49
很好！,2024-10-28 12:00:52
描述准确,2024-10-12 23:22:05
好,2024-10-06 12:19:43
不错的的红皮小籽！,2024-08-30 21:37:46
好,2024-08-29 21:14:21
物有所值！！！很好的卖家，沟通愉快，祝生意兴隆，下次还来,2024-08-24 13:32:29
非常靠谱的卖家，多次合作！,2024-08-23 15:26:18
老朋友，愉快,2024-08-10 20:14:58
非常满意！还会继续购买！,2024-08-06 11:04:57
一如既往的好、合作愉快！,2024-07-15 13:38:23
东西不错,2024-07-03 20:49:35
好皮色，好东西,2024-06-28 16:05:46
很满意！合作愉快！,2024-06-24 13:39:52
漂亮的小籽 合作愉快,2024-06-19 21:13:47
沟通愉快,2024-05-18 05:24:17
好评，卖家人很好。,2024-05-09 11:20:00
好看，与视频文字描述一致。,2024-05-04 22:31:05
好看，虽然有修，但是有黄皮有白肉，虽然白肉里面很多很多棉但无裂，这个价格个人觉得还是挺不错的，第一次买和田玉籽料，以后会考虑买一条贵一些的和田玉无修籽料手串，中年男人标配，没事儿盘一盘。,2024-05-04 22:25:14
一如既往的好 ，合作愉快,2024-04-27 19:03:49
很棒,2024-04-20 13:27:39
合作愉快,2024-04-11 18:36:45
不错！漂亮！,2024-04-10 12:55:00
不错   合作愉快👍,2024-03-29 22:04:56
很好,2024-03-11 08:42:22
好好好,2024-03-11 07:57:44
老板人很好,2024-03-10 12:11:32
好好好,2024-02-09 06:17:32
合作愉快🤝,2024-02-06 09:13:06
好珠子好玉友,2024-01-31 15:28:40
沟通愉快,2024-01-24 14:50:10
非常好！不得不说，在老板这里买的料子都很满意，肉细腻程度都是有保障的，而且都是实在价，只要喜欢果断购买即可！赞！赞！赞！,2024-01-21 09:48:35
东西还行，好评！,2024-01-14 17:18:38
多次交易了，不错,2024-01-08 14:20:48
珠子不错,2024-01-08 14:20:35
非常好,2023-12-22 16:54:22
货真价实,2023-12-12 14:08:54
货真价实,2023-12-12 14:08:39
非常不错的卖家，值得推荐。,2023-11-28 18:22:56
沟通愉快，老朋友了,2023-11-26 19:57:55
很喜欢 ,2023-11-23 11:38:47
沟通愉快,2023-11-17 19:00:28
很好,2023-11-17 12:41:10
很好的东西，老板也认真,2023-11-17 09:48:27
很好的朋友,2023-11-15 20:13:28
货主描述真实,2023-11-12 13:26:56
东西很好，卖家优秀、诚信！会经常光顾！㊗️生意兴隆！,2023-11-09 20:12:05
该用户没有填写有效评价信息,2023-11-08 12:24:39
性价比高,2023-11-07 17:05:08
货真价实,2023-10-19 20:54:50
好,2023-10-19 20:02:25
好，卖家实在,2023-10-19 16:44:33
挺好的宝贝,2023-10-07 17:19:42
皮子特别漂亮，大哥人也很好！有需要的可以在这里入手！,2023-10-01 16:25:04
一如既往好品质！值得信赖！,2023-09-12 10:02:27
很好,2023-09-10 10:03:23
老板人很好，东西很棒，还会再来,2023-09-06 20:18:01
很漂亮的小籽！,2023-09-05 01:34:34
店主人非常好，诚信靠谱，买玉选他家准没错,2023-09-04 15:19:55
老板配串一绝，从来没失望过,2023-08-29 19:16:53
好老哥好珠子,2023-08-29 13:32:49
好老哥好珠子,2023-08-29 13:32:30
很不错的小东西 细节很到位,2023-08-26 18:04:06
老哥人很好，有喜欢的还想买个手串,2023-08-19 22:43:58
反复回购，性价比最高,2023-08-18 18:21:03
东西是没问题的，老板人也非常爽快！,2023-08-18 11:17:08
很漂亮 喜欢。,2023-08-18 10:00:50
购物愉快，沟通愉快,2023-08-17 19:44:32
搭配的很好，每一颗品质都不错，原籽无修，新料毛孔清晰，很推荐老板的东西,2023-08-10 16:25:18
好评！好评！好评！个人喜欢长条形挂坠，希望以后可以买到更多喜欢的宝贝～,2023-08-07 14:37:44
一如既往的好，值得信赖！,2023-07-29 17:40:29
漂亮 满意。,2023-07-27 22:32:31
漂亮 满意。,2023-07-27 22:32:23
好,2023-07-26 15:26:39
一如既往的好,2023-07-25 16:29:18
一如既往的好,2023-07-25 16:29:00
很喜欢这个小物件，很漂亮，质量很好，物流也很快，好评！,2023-07-22 22:15:20
物美价廉 最优秀的老板,2023-07-21 16:28:01
物美价廉，认准这个老板的籽料了👍🏻,2023-07-21 16:27:41
真漂亮 手链籽刚好！,2023-07-17 14:25:56
漂亮的小籽👍,2023-07-15 20:31:18
性价比超高 很好的卖家,2023-07-14 16:54:13
性价比超高，很好的卖家,2023-07-14 16:53:51
沟通愉快，描述真实,2023-07-13 10:07:29
物有所值！,2023-07-11 16:40:23
很完美.,2023-07-01 19:46:09
老板实在、可靠、专业、热情，下次首选。,2023-07-01 14:52:48
合作多次了，卖家的料子越来越好！价格优惠,2023-06-22 17:41:56
性价比高,2023-06-03 22:21:55
这个老板是个宝藏卖家,2023-05-19 20:38:53
不错的小籽,2023-05-18 22:48:45
好评，好评,2023-05-18 21:13:15
物美廉价,2023-05-12 17:39:39
料子不错，物美价廉,2023-05-06 22:11:35
一如既往的好，值得信赖！,2023-05-04 20:47:47
合作愉快！,2023-04-20 23:32:11
好,2023-03-30 18:00:33
该用户没有填写有效评价信息,2023-03-27 10:48:25
该用户没有填写有效评价信息,2023-03-23 15:45:38
感谢老板！非常满意！,2023-03-22 10:16:00
料子收到，非常不错！,2023-03-22 10:14:47
期待下次合作,2023-03-21 09:01:19
靠谱,2023-03-20 17:46:50
该用户没有填写有效评价信息,2023-03-18 16:43:45
该用户没有填写有效评价信息,2023-03-15 10:32:49
该用户没有填写有效评价信息,2023-03-08 01:07:02
该用户没有填写有效评价信息,2023-03-08 01:06:48
一如既往的好,2023-03-07 17:09:24
该用户没有填写有效评价信息,2023-03-04 16:40:08
该用户没有填写有效评价信息,2023-03-04 10:11:54
老板很细心，还送一袋核桃糖好吃，小籽更漂亮，给力！还想吃咋办🤩,2023-03-02 21:26:08
小籽非常漂亮，看到实物比视频上还漂亮，感谢，下次再次合作！,2023-03-02 20:58:51
ta没有填写文字评价,2023-03-01 11:23:36
卖家人非常好，东西也很好,2023-02-27 16:01:37
真心不错！小籽非常漂亮！,2023-02-25 10:42:00
真心不错！淘到好货了！,2023-02-20 20:44:50
沟通愉快，发货快，描述真实,2023-02-19 17:14:04
沟通愉快，发货快，描述真实,2023-02-19 16:50:51
包装好，发货快，描述真实,2023-02-18 10:51:56
沟通愉快，发货快，描述真实,2023-02-16 17:51:06
ta没有填写文字评价,2023-02-13 21:25:10
实物与描述一致，诚信卖家，好评！,2023-02-13 18:33:47
沟通愉快，发货快，描述真实,2023-01-18 12:07:34
沟通愉快，发货快，描述真实,2023-01-16 11:36:02
沟通愉快，发货快，描述真实,2023-01-16 11:35:52
ta没有填写文字评价,2023-01-13 14:24:51
实在卖家，实物与描述、照片、视频一致，没有任何色差，东西好，价格实在，继续支持！,2023-01-12 09:37:41
交易顺畅，发货快，描述真实,2023-01-07 20:13:57
少见黄油皮漂亮皮色,2023-01-06 11:59:55
很好的卖家,2023-01-06 11:03:20
挺好的籽,2022-12-29 15:46:49
很好的卖家，东西很好，原籽。,2022-12-29 13:41:53
好卖家,2022-12-27 18:38:04
ta没有填写文字评价,2022-12-27 16:31:05
